true_angle_deg,measured_angle_deg,abs_error_deg
0,360.00,0.000
1,360.00,1.000
2,360.00,2.000
3,360.00,3.000
4,360.00,4.000
5,360.00,5.000
6,360.00,6.000
7,360.00,7.000
8,360.00,8.000
9,360.00,9.000
10,360.00,10.000
11,360.00,11.000
12,360.00,12.000
13,360.00,13.000
14,360.00,14.000
15,360.00,15.000
16,360.00,16.000
17,360.00,17.000
18,360.00,18.000
19,30.36,11.361
20,30.36,10.361
21,30.36,9.361
22,30.36,8.361
23,30.36,7.361
24,30.36,6.361
25,30.36,5.361
26,30.36,4.361
27,30.36,3.361
28,30.36,2.361
29,30.36,1.361
30,30.36,0.361
31,30.36,0.639
32,30.36,1.639
33,30.36,2.639
34,30.36,3.639
35,30.36,4.639
36,30.36,5.639
37,30.36,6.639
38,30.36,7.639
39,30.36,8.639
40,30.36,9.639
41,30.36,10.639
42,30.36,11.639
43,30.36,12.639
44,30.36,13.639
45,30.36,14.639
46,30.36,15.639
47,30.36,16.639
48,30.36,17.639
49,30.36,18.639
50,30.36,19.639
51,30.36,20.639
52,30.36,21.639
53,30.36,22.639
54,30.36,23.639
55,67.50,12.500
56,67.50,11.500
57,67.50,10.500
58,67.50,9.500
59,67.50,8.500
60,67.50,7.500
61,67.50,6.500
62,67.50,5.500
63,67.50,4.500
64,67.50,3.500
65,67.50,2.500
66,67.50,1.500
67,67.50,0.500
68,67.50,0.500
69,67.50,1.500
70,67.50,2.500
71,67.50,3.500
72,67.50,4.500
73,67.50,5.500
74,67.50,6.500
75,67.50,7.500
76,67.50,8.500
77,67.50,9.500
78,67.50,10.500
79,67.50,11.500
80,67.50,12.500
81,67.50,13.500
82,67.50,14.500
83,67.50,15.500
84,67.50,16.500
85,67.50,17.500
86,67.50,18.500
87,67.50,19.500
88,67.50,20.500
89,67.50,21.500
90,67.50,22.500
91,112.50,21.500
92,112.50,20.500
93,112.50,19.500
94,112.50,18.500
95,112.50,17.500
96,112.50,16.500
97,112.50,15.500
98,112.50,14.500
99,112.50,13.500
100,112.50,12.500
101,112.50,11.500
102,112.50,10.500
103,112.50,9.500
104,112.50,8.500
105,112.50,7.500
106,112.50,6.500
107,112.50,5.500
108,112.50,4.500
109,112.50,3.500
110,112.50,2.500
111,112.50,1.500
112,112.50,0.500
113,112.50,0.500
114,112.50,1.500
115,112.50,2.500
116,112.50,3.500
117,112.50,4.500
118,112.50,5.500
119,112.50,6.500
120,112.50,7.500
121,112.50,8.500
122,112.50,9.500
123,112.50,10.500
124,112.50,11.500
125,112.50,12.500
126,112.50,13.500
127,149.64,22.639
128,149.64,21.639
129,149.64,20.639
130,149.64,19.639
131,149.64,18.639
132,149.64,17.639
133,149.64,16.639
134,149.64,15.639
135,149.64,14.639
136,149.64,13.639
137,149.64,12.639
138,149.64,11.639
139,149.64,10.639
140,149.64,9.639
141,149.64,8.639
142,149.64,7.639
143,149.64,6.639
144,149.64,5.639
145,149.64,4.639
146,149.64,3.639
147,149.64,2.639
148,149.64,1.639
149,149.64,0.639
150,149.64,0.361
151,149.64,1.361
152,149.64,2.361
153,149.64,3.361
154,149.64,4.361
155,149.64,5.361
156,149.64,6.361
157,149.64,7.361
158,149.64,8.361
159,149.64,9.361
160,149.64,10.361
161,149.64,11.361
162,149.64,12.361
163,180.00,17.000
164,180.00,16.000
165,180.00,15.000
166,180.00,14.000
167,180.00,13.000
168,180.00,12.000
169,180.00,11.000
170,180.00,10.000
171,180.00,9.000
172,180.00,8.000
173,180.00,7.000
174,180.00,6.000
175,180.00,5.000
176,180.00,4.000
177,180.00,3.000
178,180.00,2.000
179,180.00,1.000
180,180.00,0.000
181,180.00,1.000
182,180.00,2.000
183,180.00,3.000
184,180.00,4.000
185,180.00,5.000
186,180.00,6.000
187,180.00,7.000
188,180.00,8.000
189,180.00,9.000
190,180.00,10.000
191,180.00,11.000
192,180.00,12.000
193,180.00,13.000
194,180.00,14.000
195,180.00,15.000
196,180.00,16.000
197,180.00,17.000
198,180.00,18.000
199,210.36,11.361
200,210.36,10.361
201,210.36,9.361
202,210.36,8.361
203,210.36,7.361
204,210.36,6.361
205,210.36,5.361
206,210.36,4.361
207,210.36,3.361
208,210.36,2.361
209,210.36,1.361
210,210.36,0.361
211,210.36,0.639
212,210.36,1.639
213,210.36,2.639
214,210.36,3.639
215,210.36,4.639
216,210.36,5.639
217,210.36,6.639
218,210.36,7.639
219,210.36,8.639
220,210.36,9.639
221,210.36,10.639
222,210.36,11.639
223,210.36,12.639
224,210.36,13.639
225,210.36,14.639
226,210.36,15.639
227,210.36,16.639
228,210.36,17.639
229,210.36,18.639
230,210.36,19.639
231,210.36,20.639
232,210.36,21.639
233,210.36,22.639
234,210.36,23.639
235,247.50,12.500
236,247.50,11.500
237,247.50,10.500
238,247.50,9.500
239,247.50,8.500
240,247.50,7.500
241,247.50,6.500
242,247.50,5.500
243,247.50,4.500
244,247.50,3.500
245,247.50,2.500
246,247.50,1.500
247,247.50,0.500
248,247.50,0.500
249,247.50,1.500
250,247.50,2.500
251,247.50,3.500
252,247.50,4.500
253,247.50,5.500
254,247.50,6.500
255,247.50,7.500
256,247.50,8.500
257,247.50,9.500
258,247.50,10.500
259,247.50,11.500
260,247.50,12.500
261,247.50,13.500
262,247.50,14.500
263,247.50,15.500
264,247.50,16.500
265,247.50,17.500
266,247.50,18.500
267,247.50,19.500
268,247.50,20.500
269,247.50,21.500
270,247.50,22.500
271,292.50,21.500
272,292.50,20.500
273,292.50,19.500
274,292.50,18.500
275,292.50,17.500
276,292.50,16.500
277,292.50,15.500
278,292.50,14.500
279,292.50,13.500
280,292.50,12.500
281,292.50,11.500
282,292.50,10.500
283,292.50,9.500
284,292.50,8.500
285,292.50,7.500
286,292.50,6.500
287,292.50,5.500
288,292.50,4.500
289,292.50,3.500
290,292.50,2.500
291,292.50,1.500
292,292.50,0.500
293,292.50,0.500
294,292.50,1.500
295,292.50,2.500
296,292.50,3.500
297,292.50,4.500
298,292.50,5.500
299,292.50,6.500
300,292.50,7.500
301,292.50,8.500
302,292.50,9.500
303,292.50,10.500
304,292.50,11.500
305,292.50,12.500
306,292.50,13.500
307,329.64,22.639
308,329.64,21.639
309,329.64,20.639
310,329.64,19.639
311,329.64,18.639
312,329.64,17.639
313,329.64,16.639
314,329.64,15.639
315,329.64,14.639
316,329.64,13.639
317,329.64,12.639
318,329.64,11.639
319,329.64,10.639
320,329.64,9.639
321,329.64,8.639
322,329.64,7.639
323,329.64,6.639
324,329.64,5.639
325,329.64,4.639
326,329.64,3.639
327,329.64,2.639
328,329.64,1.639
329,329.64,0.639
330,329.64,0.361
331,329.64,1.361
332,329.64,2.361
333,329.64,3.361
334,329.64,4.361
335,329.64,5.361
336,329.64,6.361
337,329.64,7.361
338,329.64,8.361
339,329.64,9.361
340,329.64,10.361
341,329.64,11.361
342,360.00,18.000
343,360.00,17.000
344,360.00,16.000
345,360.00,15.000
346,360.00,14.000
347,360.00,13.000
348,360.00,12.000
349,360.00,11.000
350,360.00,10.000
351,360.00,9.000
352,360.00,8.000
353,360.00,7.000
354,360.00,6.000
355,360.00,5.000
356,360.00,4.000
357,360.00,3.000
358,360.00,2.000
359,360.00,1.000
