iteration,latency_us
0,1.3000
50,0.6000
100,0.7000
150,0.5000
200,0.5000
250,0.6000
300,0.8000
350,0.5000
400,0.6000
450,0.4000
500,0.5000
550,0.4000
600,0.6000
650,0.4000
700,0.4000
750,0.5000
800,0.4000
850,0.4000
900,0.4000
950,0.5000
1000,0.5000
1050,0.5000
1100,0.5000
1150,0.5000
1200,0.4000
1250,0.4000
1300,0.5000
1350,0.5000
1400,0.5000
1450,0.4000
1500,0.4000
1550,0.5000
1600,0.5000
1650,0.5000
1700,0.4000
1750,0.4000
1800,0.6000
1850,0.4000
1900,0.4000
1950,0.4000
2000,0.7000
2050,0.5000
2100,0.4000
2150,0.4000
2200,0.5000
2250,0.4000
2300,0.5000
2350,0.4000
2400,0.5000
2450,0.4000
2500,0.5000
2550,0.5000
2600,0.4000
2650,0.5000
2700,0.4000
2750,0.5000
2800,0.5000
2850,0.5000
2900,0.5000
2950,0.5000
3000,0.6000
3050,0.5000
3100,0.5000
3150,0.5000
3200,0.6000
3250,0.5000
3300,0.5000
3350,0.5000
3400,0.5000
3450,0.5000
3500,0.6000
3550,0.6000
3600,0.5000
3650,0.4000
3700,0.5000
3750,0.4000
3800,0.4000
3850,0.4000
3900,0.5000
3950,0.5000
4000,0.5000
4050,0.5000
4100,0.6000
4150,0.5000
4200,0.5000
4250,0.4000
4300,0.5000
4350,1.1000
4400,0.5000
4450,0.8000
4500,0.5000
4550,0.5000
4600,0.4000
4650,0.5000
4700,0.5000
4750,0.4000
4800,0.5000
4850,0.4000
4900,0.4000
4950,0.5000
5000,0.4000
5050,0.5000
5100,0.5000
5150,0.6000
5200,0.4000
5250,0.5000
5300,0.4000
5350,0.5000
5400,0.5000
5450,0.4000
5500,0.6000
5550,0.4000
5600,0.4000
5650,0.4000
5700,0.5000
5750,0.5000
5800,0.5000
5850,0.5000
5900,0.5000
5950,0.6000
6000,0.5000
6050,0.4000
6100,0.4000
6150,0.4000
6200,0.4000
6250,0.5000
6300,0.5000
6350,0.4000
6400,0.4000
6450,0.5000
6500,0.6000
6550,0.5000
6600,0.4000
6650,0.6000
6700,0.6000
6750,0.6000
6800,0.4000
6850,0.4000
6900,0.4000
6950,0.5000
7000,0.4000
7050,0.5000
7100,0.5000
7150,0.5000
7200,0.4000
7250,0.5000
7300,0.6000
7350,0.5000
7400,0.4000
7450,0.5000
7500,0.5000
7550,0.5000
7600,0.4000
7650,0.5000
7700,0.3000
7750,0.4000
7800,0.5000
7850,0.4000
7900,0.6000
7950,0.4000
8000,0.5000
8050,0.5000
8100,0.5000
8150,0.5000
8200,0.5000
8250,0.6000
8300,0.5000
8350,0.4000
8400,0.5000
8450,0.4000
8500,0.5000
8550,0.5000
8600,0.4000
8650,0.3000
8700,0.5000
8750,0.6000
8800,0.4000
8850,0.5000
8900,0.6000
8950,0.5000
9000,0.4000
9050,0.4000
9100,0.4000
9150,0.4000
9200,0.5000
9250,0.6000
9300,0.5000
9350,0.5000
9400,0.5000
9450,0.5000
9500,0.5000
9550,0.5000
9600,0.5000
9650,0.4000
9700,0.4000
9750,0.4000
9800,0.4000
9850,0.5000
9900,0.6000
9950,0.5000
10000,0.4000
10050,0.4000
10100,0.3000
10150,0.3000
10200,0.4000
10250,0.4000
10300,0.3000
10350,0.3000
10400,0.4000
10450,0.3000
10500,0.3000
10550,0.3000
10600,0.3000
10650,0.3000
10700,0.3000
10750,0.3000
10800,0.4000
10850,0.4000
10900,0.4000
10950,0.3000
11000,0.3000
11050,0.4000
11100,0.4000
11150,0.4000
11200,0.4000
11250,0.4000
11300,0.3000
11350,0.4000
11400,0.4000
11450,0.3000
11500,0.4000
11550,0.4000
11600,0.3000
11650,0.3000
11700,0.3000
11750,0.4000
11800,0.4000
11850,0.3000
11900,0.4000
11950,0.4000
12000,0.3000
12050,0.3000
12100,0.3000
12150,0.3000
12200,0.3000
12250,0.3000
12300,0.4000
12350,0.4000
12400,0.4000
12450,0.3000
12500,0.4000
12550,0.3000
12600,0.3000
12650,0.4000
12700,0.4000
12750,0.4000
12800,0.3000
12850,0.3000
12900,0.3000
12950,0.3000
13000,0.3000
13050,0.4000
13100,0.4000
13150,0.3000
13200,0.3000
13250,0.3000
13300,0.3000
13350,0.3000
13400,0.4000
13450,0.3000
13500,0.4000
13550,0.4000
13600,0.4000
13650,0.3000
13700,0.4000
13750,0.4000
13800,0.4000
13850,0.4000
13900,0.4000
13950,0.4000
14000,0.4000
14050,0.3000
14100,0.5000
14150,0.3000
14200,0.4000
14250,0.3000
14300,0.4000
14350,0.4000
14400,0.4000
14450,0.4000
14500,0.3000
14550,0.5000
14600,0.5000
14650,0.5000
14700,0.4000
14750,0.7000
14800,0.4000
14850,0.5000
14900,0.4000
14950,0.4000
15000,0.3000
15050,0.3000
15100,0.4000
15150,0.3000
15200,0.4000
15250,0.2000
15300,0.4000
15350,0.4000
15400,0.3000
15450,0.4000
15500,0.3000
15550,0.3000
15600,0.3000
15650,0.3000
15700,0.4000
15750,0.4000
15800,0.4000
15850,0.4000
15900,0.3000
15950,0.3000
16000,0.4000
16050,0.4000
16100,0.3000
16150,0.3000
16200,0.3000
16250,0.4000
16300,0.4000
16350,0.3000
16400,0.3000
16450,0.4000
16500,0.3000
16550,0.4000
16600,0.4000
16650,0.3000
16700,0.5000
16750,0.5000
16800,0.3000
16850,0.4000
16900,0.3000
16950,0.3000
17000,0.4000
17050,0.4000
17100,0.4000
17150,0.4000
17200,0.4000
17250,0.3000
17300,0.3000
17350,0.4000
17400,0.3000
17450,0.4000
17500,0.4000
17550,0.3000
17600,0.4000
17650,0.3000
17700,0.3000
17750,0.4000
17800,0.3000
17850,0.3000
17900,0.4000
17950,0.4000
18000,0.4000
18050,0.3000
18100,0.4000
18150,0.4000
18200,0.4000
18250,0.3000
18300,0.3000
18350,0.3000
18400,0.3000
18450,0.4000
18500,0.3000
18550,0.4000
18600,0.3000
18650,0.3000
18700,0.4000
18750,0.4000
18800,0.4000
18850,0.4000
18900,0.3000
18950,0.4000
19000,0.3000
19050,0.4000
19100,0.3000
19150,0.4000
19200,0.3000
19250,0.4000
19300,0.3000
19350,0.4000
19400,0.3000
19450,0.3000
19500,0.3000
19550,0.4000
19600,0.3000
19650,0.3000
19700,0.4000
19750,0.3000
19800,0.4000
19850,0.3000
19900,0.3000
19950,0.3000
20000,0.4000
20050,0.3000
20100,0.4000
20150,0.3000
20200,0.4000
20250,0.4000
20300,0.3000
20350,0.3000
20400,0.3000
20450,0.4000
20500,0.4000
20550,0.4000
20600,0.4000
20650,0.3000
20700,0.4000
20750,0.3000
20800,0.3000
20850,0.4000
20900,0.4000
20950,0.3000
21000,0.3000
21050,0.5000
21100,0.4000
21150,0.4000
21200,0.3000
21250,0.4000
21300,0.4000
21350,0.4000
21400,0.4000
21450,0.4000
21500,0.4000
21550,0.3000
21600,0.3000
21650,0.4000
21700,0.4000
21750,0.4000
21800,0.4000
21850,0.3000
21900,0.4000
21950,0.4000
22000,0.3000
22050,0.4000
22100,0.4000
22150,0.4000
22200,0.4000
22250,0.4000
22300,0.4000
22350,0.4000
22400,0.3000
22450,0.3000
22500,0.3000
22550,0.3000
22600,0.3000
22650,0.3000
22700,0.4000
22750,0.3000
22800,0.4000
22850,0.4000
22900,0.3000
22950,0.4000
23000,0.4000
23050,0.4000
23100,0.4000
23150,0.4000
23200,0.4000
23250,0.3000
23300,0.3000
23350,0.4000
23400,0.3000
23450,0.3000
23500,0.3000
23550,0.4000
23600,0.4000
23650,0.2000
23700,0.3000
23750,0.3000
23800,0.4000
23850,0.4000
23900,0.3000
23950,0.4000
24000,0.3000
24050,0.3000
24100,0.3000
24150,0.3000
24200,0.3000
24250,0.3000
24300,0.4000
24350,0.4000
24400,0.4000
24450,0.4000
24500,0.3000
24550,0.5000
24600,0.3000
24650,0.4000
24700,0.4000
24750,0.3000
24800,0.4000
24850,0.4000
24900,0.4000
24950,0.4000
25000,0.4000
25050,0.4000
25100,0.4000
25150,0.4000
25200,0.3000
25250,0.4000
25300,0.4000
25350,0.3000
25400,0.3000
25450,0.4000
25500,0.3000
25550,0.3000
25600,0.4000
25650,0.4000
25700,0.4000
25750,0.3000
25800,0.4000
25850,0.3000
25900,0.3000
25950,0.3000
26000,0.4000
26050,0.3000
26100,0.4000
26150,4.0000
26200,0.3000
26250,0.3000
26300,0.4000
26350,0.4000
26400,0.3000
26450,0.3000
26500,0.3000
26550,0.3000
26600,0.4000
26650,0.5000
26700,0.4000
26750,0.4000
26800,0.3000
26850,0.4000
26900,0.3000
26950,0.4000
27000,0.4000
27050,0.3000
27100,0.4000
27150,0.4000
27200,0.3000
27250,0.3000
27300,0.3000
27350,0.4000
27400,0.3000
27450,0.4000
27500,0.4000
27550,0.3000
27600,0.3000
27650,0.4000
27700,0.4000
27750,0.3000
27800,0.4000
27850,0.3000
27900,0.3000
27950,0.4000
28000,0.4000
28050,0.4000
28100,0.3000
28150,0.4000
28200,0.4000
28250,0.3000
28300,0.3000
28350,0.4000
28400,0.4000
28450,0.4000
28500,0.3000
28550,0.4000
28600,0.3000
28650,0.3000
28700,0.4000
28750,0.3000
28800,0.3000
28850,0.4000
28900,0.3000
28950,0.3000
29000,0.4000
29050,0.4000
29100,0.3000
29150,0.3000
29200,0.4000
29250,0.4000
29300,0.4000
29350,0.3000
29400,0.4000
29450,0.4000
29500,0.3000
29550,0.3000
29600,0.4000
29650,0.3000
29700,0.3000
29750,0.3000
29800,0.3000
29850,0.3000
29900,0.4000
29950,0.3000
30000,0.4000
30050,0.3000
30100,0.3000
30150,0.4000
30200,0.4000
30250,0.4000
30300,0.3000
30350,0.3000
30400,0.3000
30450,0.4000
30500,0.4000
30550,0.3000
30600,0.3000
30650,0.4000
30700,0.4000
30750,0.4000
30800,0.4000
30850,0.4000
30900,0.3000
30950,0.4000
31000,0.3000
31050,0.3000
31100,0.3000
31150,0.4000
31200,0.3000
31250,0.3000
31300,0.4000
31350,0.4000
31400,0.4000
31450,0.4000
31500,0.5000
31550,0.5000
31600,0.6000
31650,0.5000
31700,0.6000
31750,0.4000
31800,0.5000
31850,0.6000
31900,0.5000
31950,0.5000
32000,0.4000
32050,0.5000
32100,0.4000
32150,0.6000
32200,0.5000
32250,0.5000
32300,0.4000
32350,0.4000
32400,0.4000
32450,0.5000
32500,0.4000
32550,0.5000
32600,0.5000
32650,0.5000
32700,0.5000
32750,0.5000
32800,0.5000
32850,0.5000
32900,0.4000
32950,0.4000
33000,0.4000
33050,0.4000
33100,0.5000
33150,0.5000
33200,0.5000
33250,0.5000
33300,0.6000
33350,0.5000
33400,0.4000
33450,0.5000
33500,0.6000
33550,0.6000
33600,0.4000
33650,0.4000
33700,0.4000
33750,0.4000
33800,0.4000
33850,0.4000
33900,0.4000
33950,0.4000
34000,0.4000
34050,0.5000
34100,0.3000
34150,0.4000
34200,0.4000
34250,0.4000
34300,0.4000
34350,0.4000
34400,0.5000
34450,0.4000
34500,0.5000
34550,0.4000
34600,0.5000
34650,0.4000
34700,0.5000
34750,0.4000
34800,0.5000
34850,0.3000
34900,0.4000
34950,0.5000
35000,0.5000
35050,0.5000
35100,0.5000
35150,0.5000
35200,0.5000
35250,0.4000
35300,0.4000
35350,0.5000
35400,0.4000
35450,0.5000
35500,0.5000
35550,0.3000
35600,0.5000
35650,0.4000
35700,0.4000
35750,0.5000
35800,0.4000
35850,0.5000
35900,0.4000
35950,0.5000
36000,0.5000
36050,0.5000
36100,0.5000
36150,0.5000
36200,0.4000
36250,0.5000
36300,0.5000
36350,0.3000
36400,0.6000
36450,0.5000
36500,0.6000
36550,0.6000
36600,0.4000
36650,0.5000
36700,0.6000
36750,0.4000
36800,0.5000
36850,0.5000
36900,0.4000
36950,0.5000
37000,0.5000
37050,0.5000
37100,0.5000
37150,0.4000
37200,0.4000
37250,0.5000
37300,0.4000
37350,0.4000
37400,0.4000
37450,0.4000
37500,0.4000
37550,0.4000
37600,0.5000
37650,0.4000
37700,0.5000
37750,0.4000
37800,0.6000
37850,0.6000
37900,0.4000
37950,0.5000
38000,0.5000
38050,0.5000
38100,0.5000
38150,0.6000
38200,0.5000
38250,0.5000
38300,0.4000
38350,0.6000
38400,0.4000
38450,0.5000
38500,0.5000
38550,0.5000
38600,0.5000
38650,0.4000
38700,0.5000
38750,0.4000
38800,0.4000
38850,0.4000
38900,0.4000
38950,0.5000
39000,0.5000
39050,0.5000
39100,0.4000
39150,0.5000
39200,0.4000
39250,0.5000
39300,0.3000
39350,0.4000
39400,0.3000
39450,0.4000
39500,0.4000
39550,0.4000
39600,0.4000
39650,0.3000
39700,0.3000
39750,0.3000
39800,0.3000
39850,0.3000
39900,0.4000
39950,0.3000
40000,0.3000
40050,0.4000
40100,0.4000
40150,0.4000
40200,0.3000
40250,0.3000
40300,0.3000
40350,0.4000
40400,0.3000
40450,0.4000
40500,0.3000
40550,0.3000
40600,0.4000
40650,0.4000
40700,0.4000
40750,0.4000
40800,0.3000
40850,0.3000
40900,0.2000
40950,0.3000
41000,0.4000
41050,0.4000
41100,0.4000
41150,0.4000
41200,0.3000
41250,0.3000
41300,0.3000
41350,0.4000
41400,0.4000
41450,0.3000
41500,0.4000
41550,0.4000
41600,0.4000
41650,0.3000
41700,0.4000
41750,0.4000
41800,0.4000
41850,0.4000
41900,0.3000
41950,0.3000
42000,0.3000
42050,0.4000
42100,0.3000
42150,0.3000
42200,0.4000
42250,0.4000
42300,0.3000
42350,0.4000
42400,0.4000
42450,0.4000
42500,0.4000
42550,0.3000
42600,0.4000
42650,0.3000
42700,0.4000
42750,0.4000
42800,0.4000
42850,0.4000
42900,0.3000
42950,0.3000
43000,0.3000
43050,0.3000
43100,0.3000
43150,0.4000
43200,0.4000
43250,0.3000
43300,0.4000
43350,0.3000
43400,0.4000
43450,0.4000
43500,0.3000
43550,0.4000
43600,0.3000
43650,0.4000
43700,0.4000
43750,0.4000
43800,0.4000
43850,0.4000
43900,0.4000
43950,0.3000
44000,0.3000
44050,0.3000
44100,0.3000
44150,0.3000
44200,0.3000
44250,0.3000
44300,0.4000
44350,0.4000
44400,0.3000
44450,0.4000
44500,0.3000
44550,0.3000
44600,0.3000
44650,0.3000
44700,0.3000
44750,0.3000
44800,0.3000
44850,0.4000
44900,0.4000
44950,0.3000
45000,0.4000
45050,0.5000
45100,0.4000
45150,0.3000
45200,0.3000
45250,0.3000
45300,0.5000
45350,0.4000
45400,0.4000
45450,0.3000
45500,0.3000
45550,0.4000
45600,0.4000
45650,0.3000
45700,0.5000
45750,0.3000
45800,0.4000
45850,0.4000
45900,0.3000
45950,0.4000
46000,0.3000
46050,0.4000
46100,0.3000
46150,0.3000
46200,0.4000
46250,0.3000
46300,0.3000
46350,0.3000
46400,0.4000
46450,0.4000
46500,0.3000
46550,0.3000
46600,0.3000
46650,0.4000
46700,0.4000
46750,0.4000
46800,0.3000
46850,0.3000
46900,0.3000
46950,0.3000
47000,0.3000
47050,0.4000
47100,0.3000
47150,0.4000
47200,0.3000
47250,0.3000
47300,0.4000
47350,0.4000
47400,0.4000
47450,0.4000
47500,0.4000
47550,0.4000
47600,0.3000
47650,0.3000
47700,0.4000
47750,0.4000
47800,0.3000
47850,0.3000
47900,0.3000
47950,0.3000
48000,0.3000
48050,0.3000
48100,0.3000
48150,0.5000
48200,0.4000
48250,0.4000
48300,0.4000
48350,0.4000
48400,0.4000
48450,0.4000
48500,0.3000
48550,0.5000
48600,0.4000
48650,0.4000
48700,0.4000
48750,0.5000
48800,0.4000
48850,0.5000
48900,0.3000
48950,0.4000
49000,0.4000
49050,0.4000
49100,0.4000
49150,0.4000
49200,0.3000
49250,0.3000
49300,0.3000
49350,0.3000
49400,0.4000
49450,0.4000
49500,0.3000
49550,0.4000
49600,0.4000
49650,0.4000
49700,0.4000
49750,0.3000
49800,0.4000
49850,0.3000
49900,0.4000
49950,0.4000
50000,0.4000
50050,0.4000
50100,0.4000
50150,0.3000
50200,0.4000
50250,0.4000
50300,0.3000
